SEED CPDID	KEGGID	Davis id	SEED name(s)
cpd00073		331223	Urea; Carbamide
cpd00910		1018547	Galactinol; 1-O-alpha-D-Galactosyl-D-myo-inositol; 1-alpha-D-Galactosyl-myo-inositol
cpd00323	439227	403598	L-Pipecolate; 2-Piperidinecarboxylic acid; Pipecolic acid; Pipecolinic acid
cpd00226		619737	HYXN; Purine-6-ol; Hypoxanthine
cpd00066		537760	L-Phenylalanine; (S)-alpha-Amino-beta-phenylpropionic acid
cpd00348	99058	817783	D-Galactose 1-phosphate; alpha-D-galactose-1-phosphate; alpha-D-Galactose1-phosphate; alpha-D-Galactopyranose 1-phosphate; alpha-D-Galactose 1-phosphate
cpd00179	6255	946798	Maltose; 1-alpha-D-Glucopyranosyl-4-alpha-D-glucopyranose; Malt sugar
cpd00200	70	310629	4MOP; 2-ketoisocaproate; 2-Oxoisocaproate; 4-Methyl-2-oxopentanoate
cpd01947	262	204284	BDOH; (R,R)-2,3-Butylene glycol; (R,R)-2,3-Butanediol; (R,R)-Butane-2,3-diol
cpd03331	3848	516416	PLCT; (R)-Phenyllactate; Phenyllactate
cpd00337	649	469713	Hydrouracil; 5,6-Dihydro-2,4-dihydroxypyrimidine; Dihydrouracil; Dihydrouracile; 2,4(1H,3H)-Pyrimidinedione, dihydro-; 5,6-Dihydrouracil
cpd00079	5958	806065	D-glucose-6-phosphate; glucose-6-phosphate; alpha-D-glucose-6-phosphate; D-Glucose6-phosphate; alpha-D-Glucose 6-phosphate; Robison ester; Glucose 6-phosphate; D-Glucose 6-phosphate
cpd03847		634543	Myristic acid; tetradecanoate (n-C14:0); tetradecanoate (C14:0); Tetradecanoate; Tetradecanoic acid
cpd00644		691214	PAN; R-Pantothenate; (R)-Pantothenate; Pantothenic acid; Pantothenate
cpd03642	196	475399	Adipate; Hexan-1,6-dicarboxylate; Hexanedioate
cpd00367	6175	932851	Cytidine
cpd00332	439230	498738	Mevalonic acid; 3,5-Dihydroxy-3-methylvaleric acid; (R)-Mevalonate
cpd00023		529370	L-Glutamate; DL-Glutaminic acid; DL-Glutamate; 2-Aminoglutaric acid; Glutaminic acid; Glutamate; GLU; L-Glutaminic acid; L-Glutamic acid
cpd00092		385903	Uracil
cpd00105		553411	D-Ribose
cpd00076		916949	Sucrose; SUCR; 1-alpha-D-Glucopyranosyl-2-beta-D-fructofuranoside; Saccharose; Cane sugar
cpd00171	439184	735613	D-Ribulose5-phosphate; D-Ribulose 5-phosphate
cpd00147		956402	5-Methylthioadenosine; MTA; Thiomethyladenosine; 5'-Deoxy-5'-(methylthio)adenosine; S-Methyl-5'-thioadenosine; Methylthioadenosine; 5'-Methylthioadenosine
cpd00041		478092	L-Aspartate; Aspartic acid; Aspartate; 2-Aminosuccinic acid; L-Aspartic acid
cpd01217	64959	924754	Xanthosine
cpd00108		647787	Galactose; GALC; D-Galactose
cpd00064	6262	527088	Ornithine; 2,5-Diaminopentanoate; 2,5-Diaminopentanoic acid; 2,5-Diaminovaleric acid; (S)-2,5-Diaminopentanoate; (S)-2,5-Diaminopentanoic acid; (S)-2,5-Diaminovaleric acid; L-Ornithine
cpd00089	65533	594823	Glucose-1-phosphate; D-Glucose1-phosphate; D-glucose-1-phosphate; alpha-D-Glucose-1-phosphate; D-Glucose alpha-1-phosphate; Cori ester; alpha-D-Glucose 1-phosphate; D-Glucose 1-phosphate
cpd00009	 1004	344674	Phosphate; Orthophosphoric acid; Phosphoric acid; Orthophosphate
cpd00274	9750	622308	Citrulline; 2-Amino-5-ureidovaleric acid; L-Citrulline
cpd00100		343749	Glycerol; GLYC; 1,2,3-Propanetriol; 1,2,3-Trihydroxypropane; Glycerin
cpd00223		373972	Glycerate; Glyceric acid; (R)-Glycerate; D-Glycerate
cpd00306	6912	566749	Xylitol
cpd00035		243537	L-Alanine; ALA; L-alpha-Alanine; L-2-Aminopropionic acid
cpd00162		340837	Aminoethanol; ethanol-amine; 2-Hydroxyethylamine; Ethanolamine
cpd00311		953584	Guanosine
cpd00012	1023	327474	PPi; Diphosphate; Pyrophosphoric acid; Pyrophosphate
cpd00119	6274	663898	L-Histidine; (S)-alpha-Amino-1H-imidazole-4-propionic acid
cpd00054	5951	394656	L-Serine; DL-Serine; 3-Hydroxyalanine; 2-Amino-3-hydroxypropionic acid; Serine; L-3-Hydroxy-alanine; L-2-Amino-3-hydroxypropionic acid
cpd03709	6998	405714	Salicylaldehyde; o-Hydroxybenzaldehyde
cpd00137		617288	Citrate; 2-Hydroxytricarballylic acid; 2-Hydroxy-1,2,3-propanetricarboxylic acid; Citric acid
cpd03161	1001	512521	Phenethylamine; Phenylethylamine; beta-Phenylethylamine; 2-Phenylethylamine
cpd00599	338	480445	SALC; Salicylic acid; o-Hydroxybenzoic acid; Salicylate
cpd00084	594	501345	L-Cysteine; L-2-Amino-3-mercaptopropionic acid
cpd00281		488961	GABA; 4-Aminobutylate; gamma-Aminobutyric acid; 4-Aminobutyric acid; 4-Aminobutyrate; 4-Aminobutanoic acid; 4-Aminobutanoate
cpd00154	6027	540197	Xylose; Wood sugar; D-Xylose
cpd16632		432896	cis-3-hydroxyoctadec-9-enoyl-acp
